Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C2_4, C2_3, C2_2, C2",0603,8,.1uF,
"D1_4, D1_3, D1_2, D1",D_SOD-323,4,BAT48JFILM,
"J2_4, J2_3, J2_2, J2",SM04B-SRSS-TB,4,QWICC,C2763614
"J3_4, J3_3, J3_2, J3",SM04B-SRSS-TB,4,Power In,C2763614
"J4_4, J4_3, J4_2, J4",SM04B-SRSS-TB,4,Power Out,C2763614
"K1_4, K1_3, K1_2, K1",RELAY_PR24-5V-900-1A,4,PR24-5V-900-1A,C7029760
"MOV1_4, MOV1_3, MOV1_2, MOV1",V250LA40BP,4,V250LA40BP,C1527448
"Q1_4, Q1_3, Q1_2, Q1",SOT-23,4,MMBT3904,C909754
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2",0603,8,220,
"R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4",0603,8,10K,
"U2_4, U2_3, U2_2, U2",VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,4,ATtiny1616-M,
"U3_4, U3_3, U3_2, U3",SO-4_4.4x3.6mm_P2.54mm,4,LTV-356T,
